x,y,gesture
6.0335846,3.857736,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_6_Gesture_0.97_1.30
1.6460712,7.4556026,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_7_Gesture_2.90_3.30
9.0356245,9.316097,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_8_Gesture_5.37_9.80
9.616921,9.734202,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4_segment_9_Gesture_10.47_12.00
2.1368897,7.9263,103_203_35_1_20250113_153443_yellow_ground_guesser_cam02.mp4_segment_1_Gesture_2.40_3.10
2.2634277,3.9409616,103_203_35_1_20250113_153443_yellow_ground_guesser_cam02.mp4_segment_2_Gesture_2.27_2.43
6.2207127,4.016423,103_203_36_1_20250113_153454_flannel_ground_clueGiver_cam02.mp4_segment_1_Gesture_1.27_9.50
8.668647,6.9140563,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_10_Gesture_17.13_22.03
7.3280573,4.715956,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_1_Gesture_0.80_8.00
8.789687,3.8096166,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_2_Gesture_8.70_9.30
8.808671,7.0318356,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_3_Gesture_9.93_22.20
8.913356,7.645723,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_4_Gesture_6.77_7.53
8.841942,3.8095067,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_5_Gesture_8.63_9.20
7.8247433,4.6655536,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_6_Gesture_9.73_12.17
9.90238,9.290847,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_7_Gesture_12.90_14.10
10.196943,8.9664345,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_8_Gesture_15.27_15.40
10.196293,8.951779,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4_segment_9_Gesture_16.00_16.40
6.8586526,4.399975,103_203_38_1_20250113_153528_puppy_ground_clueGiver_cam02.mp4_segment_1_Gesture_1.40_6.50
8.088986,6.6637263,103_203_38_1_20250113_153528_puppy_ground_clueGiver_cam02.mp4_segment_2_Gesture_9.00_11.13
6.876457,4.1555133,103_203_38_1_20250113_153528_puppy_ground_clueGiver_cam02.mp4_segment_3_Gesture_1.43_4.63
