time,envelope_change,sway_speed,sway_lean
2.68,0.0809634893441963,0.0,0.0
2.682,0.0775242524406428,0.0,0.0
2.684,0.0739579688642338,0.0,0.0
2.686,0.0703079889222211,0.0,0.0
2.688,0.0666178819102892,0.0,0.0
2.69,0.0629308400567854,0.0,0.0
2.692,0.0592890714507823,0.0,0.0
2.694,0.0557331770346497,0.0,0.0
2.696,0.0523015067099595,0.0,0.0
2.698,0.049029490329532,0.0,0.0
2.7,0.0459489407685789,0.0,0.0
2.702,0.0430873275039301,0.0,0.0
2.704,0.040467019452383,0.0,0.0
2.706,0.0381044960395922,0.0,0.0
2.708,0.0360095263918834,0.0,0.0
2.71,0.0341844136793141,0.0,0.0
2.712,0.0326236633828289,0.0,0.0
2.714,0.0313144704578435,0.0,0.0
2.716,0.0302379488887002,0.0,0.0
2.718,0.0293706422473741,0.0,0.0
2.72,0.0286859883534164,0.0,0.0
2.722,0.0281556633065774,0.0,0.0
2.724,0.0277508049692388,0.0,0.0
2.726,0.027443114304759,0.0,0.0
2.728,0.0272058306168437,0.0,0.0
2.73,0.0270145753388271,0.0,0.0
2.732,0.0268480586988193,0.0,0.0
2.734,0.0266886424140278,0.0,0.0
2.736,0.0265227490779701,0.0,0.0
2.738,0.0263411084904011,0.0,0.0
2.74,0.0261388341616471,0.0,0.0
2.742,0.025915326139244,0.0,0.0
2.744,0.025673999790545,0.0,0.0
2.746,0.0254218467762212,0.0,0.0
2.748,0.0251688399581905,0.0,0.0
2.75,0.0249271966038716,0.0,0.0
2.752,0.0247105161966012,0.0,0.0
2.754,0.024532809505511,0.0,0.0
2.756,0.0244074357139093,0.0,0.0
2.758,0.024345965080312,0.0,0.0
2.76,0.0243569843224719,0.0,0.0
2.762,0.0244449390847299,0.0,0.0
2.764,0.0246093364173503,0.0,0.0
2.766,0.0248446963361281,0.0,0.0
2.768,0.0251412396723514,0.0,0.0
2.77,0.0254859030187486,0.0,0.0
2.772,0.0258633496249868,0.0,0.0
2.774,0.0262568835395205,0.0,0.0
2.776,0.0266492582452161,0.0,0.0
2.778,0.0270233762116534,0.0,0.0
2.78,0.0273628795426478,0.0,0.0
2.782,0.0276526339821926,0.0,0.0
2.784,0.0278791092681305,0.0,0.0
2.786,0.0280306604472555,0.0,0.0
2.788,0.0280977171972387,0.0,0.0
2.79,0.0280728900737597,0.0,0.0
2.792,0.0279510035951145,0.0,0.0
2.794,0.0277290663034309,0.0,0.0
2.796,0.0274061884972566,0.0,0.0
2.798,0.0269834580741969,0.0,0.0
2.8,0.0264637826877596,0.0,0.0
2.802,0.025851704905217,0.0,0.0
2.804,0.0251531973201448,0.0,0.0
2.806,0.0243754446000096,0.0,0.0
2.808,0.023526618824499,0.0,0.0
2.81,0.0226156540735293,0.0,0.0
